,ID,"Уставный капитал, млн RUB","Налоги, млн RUB","Страховые взносы в ПФР, млн RUB","Страховые взносы в ФОМС, млн RUB","Страховые взносы в ФСС, млн RUB","Основные средства , млн RUB","Чистые активы, млн RUB","Запасы, млн RUB","Выручка, млн RUB","Чистая прибыль (убыток), млн RUB","Оплата труда, млн RUB","Оплата труда, прогноз"
169,1-24ZUBAW,4.0,162.0,80.0,29.0,3.0,122.0,868,188.0,5378,110.0,452,870
170,1-BEH7J,48.16,334.0,110.0,31.0,3.0,756.0,2432,3023.0,17266,912.0,1791,1490
171,1-18ENELP,0.1,341.0,96.0,29.0,8.0,91.0,336,214.0,1899,152.0,595,585
172,1-DRWASU,9578.59,334.0,110.0,31.0,3.0,45020.0,25729,860.0,61123,599.0,8776,7016
173,1-J0ZIHZF,327.01,116.0,84.0,20.0,3.0,6.0,17,1.0,1669,118.0,504,236
174,1-DESCW6,0.01,334.0,110.0,31.0,3.0,1155.0,4833,30.0,17400,4414.0,952,962
175,1-LQP78P,14.0,128.0,98.0,22.0,1.0,973.0,1455,33.0,2312,783.0,554,291
176,1-NTMM1,21.05,206.0,71.0,18.0,0.0,26.0,289,1661.0,6614,171.0,435,548
177,1-4PNG130,2.25,1420.0,24.0,31.0,3.0,2039.0,19257,1742.0,11848,3472.0,770,2659
178,1-1D60D8,67.49,334.0,110.0,31.0,3.0,161.0,892,10.0,1105,75.0,704,548
179,1-23CSR8,0.0,507.0,132.0,36.0,0.0,1823.0,3284,13.0,2504,-536.0,965,1130
180,1-2A8LLZ,20.0,495.0,191.0,45.0,5.0,4624.0,-1507,2958.0,7280,-483.0,789,1007
181,1-C1A2K0,1120.83,334.0,110.0,31.0,3.0,1523.0,1665,4763.0,2501,99.0,1586,411
182,1-OZ5D3,0.52,334.0,110.0,31.0,3.0,163.0,445,329.0,1154,175.0,644,479
183,1-64QF8YI,2075.4,334.0,110.0,31.0,3.0,1598.0,2952,1269.0,1643,129.0,1124,488
184,1-PVSX9M,1626.78,334.0,110.0,31.0,3.0,1411.0,2097,1132.0,1404,55.0,641,470
185,1-O7SMV,0.02,334.0,110.0,31.0,3.0,77.0,906,584.0,2177,434.0,928,512
186,1-2HL2DUT,2780.07,334.0,110.0,31.0,3.0,2187.0,3052,1200.0,2759,0.0,1310,536
187,1-26QP8R,0.01,388.0,85.0,21.0,4.0,15.0,444,407.0,3371,150.0,422,493
188,1-OITS9,0.01,159.0,94.0,26.0,3.0,372.0,1969,1165.0,2089,61.0,647,590
189,1-1L3U29C,31300.0,334.0,110.0,31.0,3.0,15468.0,588,28999.0,119538,-6099.0,3752,5442
190,1-XJJY8N,10.86,334.0,110.0,31.0,3.0,22.0,400,595.0,1291,98.0,529,487
191,1-4N2AQG1,1.0,167.0,20.0,20.0,2.0,19.0,176,33.0,1062,130.0,571,502
192,1-CVY7C,0.1,191.0,71.0,13.0,4.0,14.0,400,247.0,6299,104.0,443,525
193,1-V8KIDLO,0.01,333.0,125.0,31.0,0.0,143.0,111,789.0,4379,94.0,822,583
194,1-2RYEDIE,0.01,105.0,49.0,52.0,4.0,88.0,-64,4.0,1861,3.0,1128,1290
195,1-31Y6TGG,0.01,271.0,76.0,19.0,4.0,27.0,288,327.0,1207,5.0,542,333
196,1-OQ9F66G,1.67,334.0,110.0,31.0,3.0,95.0,164,977.0,2882,125.0,866,556
197,1-Q8HKY7,1660.81,334.0,110.0,31.0,3.0,1428.0,143,2725.0,1439,140.0,623,197
198,1-O0Q4R,3.0,334.0,110.0,31.0,3.0,145.0,479,196.0,1241,117.0,480,508
199,1-1VWKU6T,1.83,348.0,115.0,28.0,4.0,962.0,1232,1571.0,5342,314.0,483,695
200,1-6GWA0F,0.04,294.0,130.0,35.0,3.0,404.0,687,200.0,1788,60.0,810,605
201,1-PGO8S,0.01,334.0,110.0,31.0,3.0,580.0,5422,5292.0,8244,1569.0,2457,876
202,1-1XA0RX2,0.01,182.0,19.0,23.0,1.0,28.0,1168,201.0,1139,307.0,751,621
203,1-A11A2D,0.08,334.0,110.0,31.0,3.0,173.0,995,577.0,1489,190.0,506,539
204,1-DUAG9C,0.02,196.0,136.0,31.0,1.0,142.0,69,239.0,3257,28.0,836,483
205,1-9N5DU,2.79,650.0,189.0,49.0,1.0,4382.0,5317,1091.0,5528,925.0,1247,1330
206,1-2SB0WW4,0.01,261.0,76.0,23.0,5.0,10.0,523,34.0,1770,188.0,446,469
207,1-2BGZ3M,0.1,145.0,84.0,26.0,3.0,301.0,283,3837.0,1057,17.0,449,294
208,1-8DN7AYU,0.03,2177.0,142.0,142.0,3.0,352.0,5998,393.0,13146,5148.0,3543,3610
209,1-F05J7T,8.74,189.0,30.0,14.0,0.0,0.0,443,0.0,860,52.0,683,322
210,1-EIBX,13.74,334.0,110.0,31.0,3.0,10223.0,12418,13298.0,150422,238.0,11592,11713
